mqtt.js:5 s1: {"acc_x":1.757344007,"acc_y":2.217030764,"acc_z":7.702147007,"rot_x":-0.076208271,"rot_y":0.237151608,"rot_z":0.139892802}
mqtt.js:5 s1: {"acc_x":1.649604917,"acc_y":1.989581585,"acc_z":7.687781811,"rot_x":-0.061019909,"rot_y":0.28777948,"rot_z":0.020251149}
mqtt.js:5 s1: {"acc_x":1.89620769,"acc_y":2.133233786,"acc_z":7.501033783,"rot_x":-0.140958652,"rot_y":0.231822357,"rot_z":-0.033307809}
mqtt.js:5 s1: {"acc_x":2.549824715,"acc_y":1.920149803,"acc_z":7.785943985,"rot_x":-0.08233691,"rot_y":0.11298009,"rot_z":0.019984685}
mqtt.js:5 s1: {"acc_x":2.894589901,"acc_y":1.960851192,"acc_z":8.010998726,"rot_x":-0.003730475,"rot_y":-0.114312403,"rot_z":-0.014388974}
mqtt.js:5 s1: {"acc_x":2.748543501,"acc_y":2.078166962,"acc_z":8.437167168,"rot_x":-0.156147003,"rot_y":-0.382640123,"rot_z":0.114845328}
mqtt.js:5 s1: {"acc_x":2.578555346,"acc_y":2.166752577,"acc_z":9.208099365,"rot_x":-0.33760795,"rot_y":-0.571029067,"rot_z":0.108716697}
mqtt.js:5 s1: {"acc_x":2.609679937,"acc_y":2.22900176,"acc_z":10.00297451,"rot_x":-0.212903515,"rot_y":-0.709856033,"rot_z":0.115378261}
mqtt.js:5 s1: {"acc_x":2.736572504,"acc_y":2.511517525,"acc_z":10.47223854,"rot_x":-0.155880541,"rot_y":-0.908370614,"rot_z":0.252073497}
mqtt.js:5 s1: {"acc_x":2.7533319,"acc_y":2.549824715,"acc_z":11.48019695,"rot_x":-0.143090352,"rot_y":-1.015222073,"rot_z":0.36984992}
mqtt.js:5 s1: {"acc_x":2.252943754,"acc_y":2.829946518,"acc_z":12.35408115,"rot_x":-0.174799383,"rot_y":-1.234254241,"rot_z":0.110848397}
mqtt.js:5 s1: {"acc_x":1.611297727,"acc_y":3.308786631,"acc_z":12.74433517,"rot_x":-0.052226644,"rot_y":-1.287546754,"rot_z":0.252872884}
mqtt.js:5 s1: {"acc_x":1.752555609,"acc_y":3.493140221,"acc_z":13.01727486,"rot_x":-0.191053599,"rot_y":-1.276888251,"rot_z":0.344802469}
mqtt.js:5 s1: {"acc_x":1.814804912,"acc_y":3.64158082,"acc_z":13.21599293,"rot_x":-0.238217458,"rot_y":-1.317923427,"rot_z":0.339473218}
mqtt.js:5 s1: {"acc_x":1.369483352,"acc_y":3.799597979,"acc_z":13.30218506,"rot_x":-0.060486984,"rot_y":-1.314192891,"rot_z":0.331212848}
mqtt.js:5 s1: {"acc_x":0.945709646,"acc_y":3.780444384,"acc_z":12.98854446,"rot_x":-0.124437973,"rot_y":-1.260900497,"rot_z":0.186790213}
mqtt.js:5 s1: {"acc_x":0.162805721,"acc_y":3.507505417,"acc_z":12.82334423,"rot_x":-0.171335369,"rot_y":-1.170036793,"rot_z":0.276055127}
mqtt.js:5 s1: {"acc_x":0.196324542,"acc_y":3.385401249,"acc_z":12.26310158,"rot_x":-0.086600304,"rot_y":-0.923292518,"rot_z":0.356793284}
mqtt.js:5 s1: {"acc_x":0.450109929,"acc_y":3.366247654,"acc_z":11.46583176,"rot_x":-0.130300149,"rot_y":-0.805782497,"rot_z":0.416480839}
mqtt.js:5 s1: {"acc_x":0.344765037,"acc_y":3.323152065,"acc_z":10.87446404,"rot_x":-0.2051761,"rot_y":-0.784998477,"rot_z":0.302967817}
mqtt.js:5 s1: {"acc_x":0.921767652,"acc_y":3.043030262,"acc_z":10.20408726,"rot_x":-0.209705979,"rot_y":-0.719182253,"rot_z":0.4082205}
mqtt.js:5 s1: {"acc_x":1.601720929,"acc_y":2.748543501,"acc_z":9.718064308,"rot_x":-0.099923424,"rot_y":-0.679212868,"rot_z":0.600073516}
mqtt.js:5 s1: {"acc_x":1.838746905,"acc_y":2.557007313,"acc_z":9.129091263,"rot_x":0.097258806,"rot_y":-0.633647799,"rot_z":0.463644713}
mqtt.js:5 s1: {"acc_x":0.905008256,"acc_y":2.645592928,"acc_z":8.573636055,"rot_x":0.209439516,"rot_y":-0.611531377,"rot_z":0.102321595}
mqtt.js:5 s1: {"acc_x":-0.162805721,"acc_y":2.925714493,"acc_z":8.070854187,"rot_x":0.307764143,"rot_y":-0.404756516,"rot_z":-0.09352833}
mqtt.js:5 s1: {"acc_x":-0.972045898,"acc_y":3.047818661,"acc_z":7.58722496,"rot_x":0.281917304,"rot_y":-0.17346707,"rot_z":-0.038104136}
mqtt.js:5 s1: {"acc_x":-0.323217243,"acc_y":3.270479441,"acc_z":7.115567684,"rot_x":0.059687596,"rot_y":0.033840735,"rot_z":0.015987748}
mqtt.js:5 s1: {"acc_x":0.18435353,"acc_y":3.066972494,"acc_z":7.177816868,"rot_x":-0.090863705,"rot_y":0.159344569,"rot_z":-0.073543645}
mqtt.js:5 s1: {"acc_x":0.117315881,"acc_y":2.813186884,"acc_z":7.709329605,"rot_x":-0.184125587,"rot_y":0.267794788,"rot_z":-0.345601827}
mqtt.js:5 s1: {"acc_x":-0.110133275,"acc_y":2.949656487,"acc_z":8.238448143,"rot_x":-0.028245023,"rot_y":0.459647775,"rot_z":-0.372781008}
